country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Madhya Pradesh,25,30805387,1377052,1091783,46558,636,394,353,537,710,856,540,567,517,205,820,441,453,510,321,460,356,302,96,303,30,89,270
India,Madhya Pradesh,30,30805387,1078084,866764,46558,631,386,346,527,697,839,527,555,508,202,803,401,374,435,271,386,274,269,87,287,26,75,202
India,Madhya Pradesh,50,30805387,441156,166113,46558,397,213,170,254,345,424,244,300,327,139,469,151,136,182,95,149,100,127,45,195,14,24,71
India,Madhya Pradesh,75,30805387,15065,6822,46558,185,94,47,64,52,56,38,28,45,18,46,17,2,6,1,3,2,7,0,1,0,0,1
India,Maharashtra,0,30733885,30733885,30733885,52691,1250,907,766,2103,1220,1253,1305,1390,2325,586,2811,2004,1550,1809,814,2161,1819,2165,2192,1586,1235,1564,5389
India,Maharashtra,10,30733885,2429365,1638467,52691,1114,795,638,1811,1027,997,1033,1124,1904,506,2429,1602,867,1232,561,1355,1225,1353,1471,1027,757,1074,2640
India,Maharashtra,15,30733885,1806355,1214221,52691,1062,754,598,1705,975,925,959,1054,1787,471,2252,1457,736,1119,517,1231,1128,1206,1353,924,680,982,2244
India,Maharashtra,20,30733885,1677774,1165919,52691,1050,746,588,1683,961,907,941,1033,1758,459,2214,1409,684,1063,494,1161,1073,1139,1298,885,646,940,2119
India,Maharashtra,25,30733885,1408073,1100022,52691,970,699,535,1574,902,826,863,964,1632,430,2071,1306,602,979,454,1071,986,1031,1213,818,593,873,1920
India,Maharashtra,30,30733885,1073403,879200,52691,954,688,519,1547,887,809,842,940,1599,423,2022,1223,466,828,395,885,804,806,1027,676,485,737,1497
India,Maharashtra,50,30733885,535223,206943,52691,708,430,275,954,521,397,495,541,925,252,1134,542,159,344,207,363,273,287,476,309,214,379,708
India,Maharashtra,75,30733885,12215,4436,52691,313,64,33,177,78,42,55,53,108,27,99,63,6,12,5,7,3,7,14,8,4,8,12
India,Manipur,0,2232073,2232073,2232073,15758,4471,4344,5018,5389,5008,5505,4386,5998,6327,4416,6556,9431,14525,19288,18353,25441,23511,18158,17234,19570,20599,15643,17567
India,Manipur,10,2232073,1764568,1773766,15758,4396,4282,4906,5313,4925,5418,4316,5928,6240,4364,6358,8968,12930,17237,16301,22562,20576,15660,14916,16802,17894,13379,14832
India,Manipur,15,2232073,1741041,1750043,15758,4375,4265,4873,5288,4898,5395,4300,5912,6218,4349,6335,8907,12772,17022,16090,22272,20285,15387,14681,16516,17592,13128,14565
India,Manipur,20,2232073,1732528,1740012,15758,4356,4251,4853,5272,4881,5379,4289,5900,6206,4342,6314,8861,12641,16884,15962,22101,20093,15246,14562,16372,17439,13010,14446
India,Manipur,25,2232073,1718105,1724454,15758,4346,4247,4843,5263,4871,5370,4282,5894,6194,4337,6301,8832,12534,16731,15812,21929,19919,15075,14414,16190,17268,12864,14278
India,Manipur,30,2232073,1703677,1708038,15758,4335,4239,4828,5252,4859,5354,4275,5885,6180,4330,6288,8796,12432,16592,15670,21748,19752,14925,14276,16025,17090,12717,14105
India,Manipur,50,2232073,1611547,1614145,15758,4192,4142,4660,5103,4680,5173,4142,5765,5999,4231,6099,8354,11447,15357,14495,20233,18248,13673,13139,14680,15742,11673,12914
India,Manipur,75,2232073,1202141,1250333,15758,3347,3468,3677,4184,3765,4181,3459,4945,4924,3622,5116,6740,7468,9981,9643,13773,12143,8782,8601,9187,10283,7532,8454
India,Meghalaya,0,2251620,2251620,2251620,23721,4676,3729,2259,5879,4380,5341,6755,7402,5260,6734,5811,6274,9654,21816,19432,24612,26762,17321,15134,15822,13113,13473,14666
India,Meghalaya,10,2251620,1795672,1731907,23721,4653,3712,2246,5836,4350,5303,6698,7342,5218,6678,5747,6033,8875,20129,18146,22594,24649,15825,14070,14425,11951,12385,13546
India,Meghalaya,15,2251620,1751141,1674603,23721,4646,3704,2242,5824,4340,5292,6683,7326,5207,6662,5730,5974,8712,19711,17842,22112,24131,15468,13801,14144,11726,12183,13337
India,Meghalaya,20,2251620,1736197,1659841,23721,4639,3697,2239,5815,4334,5285,6674,7315,5201,6652,5721,5949,8643,19565,17729,21955,23959,15347,13718,14040,11638,12105,13260
India,Meghalaya,25,2251620,1720659,1632489,23721,4635,3693,2237,5807,4328,5279,6663,7305,5194,6643,5712,5926,8589,19460,17649,21846,23838,15257,13656,13961,11579,12039,13194
India,Meghalaya,30,2251620,1683888,1592783,23721,4629,3687,2234,5798,4320,5272,6651,7292,5184,6631,5699,5874,8432,19099,17347,21444,23414,14943,13401,13710,11368,11839,13002
India,Meghalaya,50,2251620,1527311,1354301,23721,4527,3586,2176,5627,4185,5117,6457,7079,5050,6444,5532,5543,7779,17559,16147,19885,21731,13758,12499,12756,10591,11076,12229
India,Meghalaya,75,2251620,852277,676737,23721,3514,2656,1676,4302,3125,3919,4970,5469,3914,4983,4284,3846,4165,8442,8523,10598,11569,7051,6674,7014,6037,6568,7568
India,Mizoram,0,2125175,2125175,2125175,16562,5117,4598,3993,5244,5057,3867,1699,3892,4443,3050,3572,7621,12189,20896,25559,39167,47603,29830,27678,29674,31906,22769,22315
India,Mizoram,10,2125175,1983904,1869164,16562,5029,4520,3927,5142,4945,3826,1689,3855,4397,3019,3396,7006,10792,18637,23161,35188,42849,26198,24409,25541,28676,20174,19938
India,Mizoram,15,2125175,1965991,1853484,16562,4995,4495,3912,5113,4923,3815,1685,3848,4388,3010,3376,6930,10632,18343,22814,34653,42197,25702,23937,25006,28192,19777,19596
India,Mizoram,20,2125175,1956647,1847464,16562,4983,4484,3904,5097,4911,3808,1683,3843,4382,3007,3366,6882,10521,18159,22605,34308,41828,25413,23699,24716,27928,19575,19422
India,Mizoram,25,2125175,1948528,1836889,16562,4976,4478,3899,5089,4904,3802,1682,3837,4377,3003,3359,6851,10445,18027,22453,34058,41550,25189,23510,24506,27723,19424,19285
India,Mizoram,30,2125175,1931959,1810236,16562,4955,4465,3889,5071,4890,3795,1681,3831,4370,2997,3349,6810,10327,17759,22109,33606,40992,24750,23095,24060,27274,19098,18999
India,Mizoram,50,2125175,1854911,1738252,16562,4850,4387,3796,4923,4735,3704,1662,3758,4287,2946,3263,6425,9544,16388,20500,31146,38210,22729,21303,22020,25299,17627,17687
India,Mizoram,75,2125175,1475284,1356090,16562,3836,3578,3151,4041,3890,3173,1502,3178,3661,2516,2783,5029,6262,10235,13275,20639,25878,14117,13432,13693,16542,11209,11651
India,NCT of Delhi,0,150220,150220,150220,512,1,0,1,2,4,4,10,9,6,5,2,6,1,0,0,0,0,0,0,0,0,0,4
India,NCT of Delhi,10,150220,783,464,512,0,0,0,1,1,1,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
India,NCT of Delhi,15,150220,534,286,512,0,0,0,1,1,1,3,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
India,NCT of Delhi,20,150220,463,266,512,0,0,0,1,1,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
India,NCT of Delhi,25,150220,371,225,512,0,0,0,1,1,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
India,NCT of Delhi,30,150220,263,122,512,0,0,0,1,1,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
India,NCT of Delhi,50,150220,35,14,512,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
India,NCT of Delhi,75,150220,3,1,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Nagaland,0,1659962,1659962,1659962,30302,12792,8117,7449,10292,9211,7227,5137,6776,7532,4993,7534,14630,17301,28652,26233,30967,33582,25128,17905,24380,19326,14601,15571
India,Nagaland,10,1659962,1357617,1375525,30302,12555,7922,7273,10033,9011,7127,5042,6630,7366,4889,6878,11655,12451,20718,18514,21625,21922,15784,12055,16350,13681,10579,11417
India,Nagaland,15,1659962,1337900,1353401,30302,12483,7869,7235,9968,8957,7101,5019,6604,7334,4868,6833,11477,12176,20294,18114,21211,21454,15395,11799,15977,13394,10372,11186
India,Nagaland,20,1659962,1330964,1345939,30302,12422,7817,7209,9920,8919,7080,5005,6582,7303,4852,6805,11333,12034,20085,17921,20998,21203,15186,11659,15773,13252,10273,11080
India,Nagaland,25,1659962,1323041,1329512,30302,12385,7795,7189,9888,8896,7064,4994,6567,7284,4838,6783,11242,11902,19879,17728,20784,20968,14975,11515,15583,13109,10177,10970
India,Nagaland,30,1659962,1310344,1316867,30302,12333,7759,7162,9845,8864,7045,4974,6539,7250,4820,6749,11113,11716,19591,17451,20453,20558,14666,11280,15283,12885,10002,10805
India,Nagaland,50,1659962,1237705,1231879,30302,11999,7515,6985,9547,8576,6848,4823,6343,7015,4682,6522,10155,10380,17367,15579,18331,18142,12725,9916,13332,11480,8972,9788
India,Nagaland,75,1659962,939432,936180,30302,10087,6130,5822,7852,6991,5791,4004,5288,5680,3884,5430,7653,6553,10947,9954,12228,11590,7691,6160,7988,7323,5758,6509
India,Odisha,0,15563805,15563805,15563805,139736,3301,4593,5972,5304,4185,5066,6958,6882,5421,2856,7019,5332,10230,14171,7535,16567,19824,19021,15368,18157,9278,15535,30514
India,Odisha,10,15563805,3776619,2871816,139736,3110,4230,5605,4761,3807,4495,6221,6212,5005,2547,6041,4325,6896,9692,5022,10857,13168,12779,10118,11696,6242,10235,16286
India,Odisha,15,15563805,3395657,2414203,139736,3065,4133,5518,4645,3733,4394,6090,6103,4920,2483,5858,4114,6362,8940,4629,9960,12048,11726,9227,10678,5782,9413,14594
India,Odisha,20,15563805,3251213,2359152,139736,3044,4086,5483,4596,3695,4347,6031,6057,4878,2458,5797,4030,6090,8569,4435,9543,11553,11242,8851,10219,5554,9031,13827
India,Odisha,25,15563805,3018419,2248464,139736,2997,4007,5412,4498,3632,4263,5932,5980,4822,2417,5664,3921,5858,8217,4247,9153,11096,10777,8498,9786,5348,8672,13104
India,Odisha,30,15563805,2680194,1916558,139736,2977,3976,5382,4462,3602,4226,5886,5939,4790,2394,5593,3779,5353,7491,3867,8340,10130,9792,7759,8873,4889,7915,11660
India,Odisha,50,15563805,1567786,557375,139736,2502,2976,4355,3307,2763,3104,4518,4691,3947,1778,4216,2647,3495,4716,2391,5193,6379,6159,4827,5543,3193,5048,6924
India,Odisha,75,15563805,104806,31907,139736,1360,1173,1851,1190,1113,1011,1433,1567,1551,652,1561,846,216,245,118,262,382,491,316,331,185,273,391
India,Puducherry,0,54733,54733,54733,604,2,2,1,2,5,2,16,19,9,2,8,14,11,7,4,99,27,38,42,130,64,49,83
India,Puducherry,10,54733,8611,8860,604,2,2,1,2,5,2,15,18,8,2,5,5,5,4,3,31,11,13,12,20,18,28,42
India,Puducherry,15,54733,8011,7252,604,2,2,1,2,5,2,15,17,8,2,5,5,5,4,3,30,10,12,11,19,17,26,40
India,Puducherry,20,54733,7811,6939,604,2,2,1,2,5,2,15,17,8,2,5,5,5,4,3,29,10,11,10,19,16,25,39
India,Puducherry,25,54733,7529,6505,604,1,2,1,2,5,2,14,17,8,2,5,5,5,4,3,28,10,11,10,18,16,24,38
India,Puducherry,30,54733,6911,5557,604,1,2,1,2,5,2,14,16,8,2,5,4,5,4,3,27,9,10,9,17,16,22,37
India,Puducherry,50,54733,5125,2610,604,1,1,1,2,4,2,13,15,7,2,5,4,5,4,2,22,7,8,6,14,12,14,29
India,Puducherry,75,54733,1258,130,604,1,0,0,0,0,1,4,5,1,0,1,1,1,1,1,6,2,2,1,4,2,4,6
India,Punjab,0,5022577,5022577,5022577,21485,131,109,122,162,212,130,165,163,138,180,78,234,106,98,5,3,0,49,172,258,364,357,812
India,Punjab,10,5022577,93790,92112,21485,106,83,89,119,151,92,108,97,89,121,51,147,22,35,2,1,0,11,13,14,28,29,57
India,Punjab,15,5022577,88135,82215,21485,105,82,88,117,149,91,105,95,88,120,50,144,21,32,2,1,0,11,11,12,26,27,51
India,Punjab,20,5022577,84645,81177,21485,104,81,86,114,145,89,101,92,86,118,48,142,20,32,2,1,0,10,10,10,23,24,46
India,Punjab,25,5022577,80629,78303,21485,104,81,85,113,144,88,100,91,85,116,48,140,19,31,2,1,0,10,9,10,20,23,41
India,Punjab,30,5022577,74700,69345,21485,102,80,85,113,143,87,99,89,84,115,48,138,17,29,2,1,0,8,7,7,17,19,35
India,Punjab,50,5022577,47188,42314,21485,91,66,71,91,121,72,74,64,69,96,37,110,11,22,1,1,0,5,3,4,10,10,19
India,Punjab,75,5022577,14595,8755,21485,62,34,37,48,70,43,35,27,34,47,17,55,3,8,0,0,0,0,0,1,3,3,6
India,Rajasthan,0,34190098,34190098,34190098,12822,16,23,18,31,24,22,66,48,45,10,32,37,30,21,0,0,0,0,0,1,0,0,897
India,Rajasthan,10,34190098,46299,21424,12822,15,19,15,27,21,14,40,37,35,8,20,21,0,0,0,0,0,0,0,0,0,0,4
India,Rajasthan,15,34190098,27617,10502,12822,14,18,15,26,20,14,39,37,34,8,20,19,0,0,0,0,0,0,0,0,0,0,4
India,Rajasthan,20,34190098,22609,7816,12822,14,18,14,26,20,13,38,36,33,7,20,19,0,0,0,0,0,0,0,0,0,0,4
India,Rajasthan,25,34190098,13789,5357,12822,14,17,14,25,20,12,37,35,33,7,19,19,0,0,0,0,0,0,0,0,0,0,4
India,Rajasthan,30,34190098,12039,4116,12822,14,17,14,25,20,12,37,35,33,7,19,18,0,0,0,0,0,0,0,0,0,0,3
India,Rajasthan,50,34190098,2335,379,12822,11,11,12,20,16,10,29,29,28,4,9,15,0,0,0,0,0,0,0,0,0,0,1
India,Rajasthan,75,34190098,539,12,12822,6,5,7,12,10,4,6,12,20,2,2,6,0,0,0,0,0,0,0,0,0,0,0
India,Sikkim,0,708307,708307,708307,6551,48,12,20,77,31,13,119,141,163,95,316,108,54,47,8,114,142,132,285,303,172,231,636
India,Sikkim,10,708307,272100,279957,6551,43,10,16,58,28,11,100,125,141,83,298,89,27,26,7,61,74,76,182,166,108,149,349
India,Sikkim,15,708307,261454,268647,6551,41,9,16,58,27,11,99,123,140,81,296,87,25,23,6,55,66,69,166,148,100,132,325
India,Sikkim,20,708307,259945,266691,6551,39,9,15,57,27,11,99,122,139,81,295,86,25,23,6,54,65,68,164,146,99,131,322
India,Sikkim,25,708307,257823,258010,6551,38,9,15,57,27,11,98,122,138,80,294,86,24,22,6,49,63,66,160,140,97,128,319
India,Sikkim,30,708307,250451,253761,6551,36,9,15,57,26,11,97,121,137,79,291,84,22,21,6,47,59,62,154,132,90,124,308
India,Sikkim,50,708307,210073,184899,6551,26,8,12,50,23,10,85,109,121,71,269,74,15,15,6,36,39,48,121,105,74,92,241
India,Sikkim,75,708307,107421,81639,6551,14,4,7,34,13,6,47,63,82,54,195,51,6,4,2,10,14,17,46,43,31,36,88
India,Tamil Nadu,0,13028087,13028087,13028087,163913,2257,1292,654,1439,1064,1800,1940,1503,530,115,1916,2514,2958,1977,1703,3168,3327,5194,9879,5885,4247,2664,9317
India,Tamil Nadu,10,13028087,1607799,1390633,163913,2194,1217,612,1325,1013,1720,1831,1403,491,108,1370,1799,738,1129,1104,1494,1766,2302,2547,1527,1423,1253,2647
India,Tamil Nadu,15,13028087,1476596,1206327,163913,2187,1209,607,1311,1007,1707,1817,1393,486,107,1352,1770,706,1092,1076,1441,1697,2207,2401,1449,1370,1200,2501
India,Tamil Nadu,20,13028087,1412456,1171218,163913,2180,1197,601,1295,1000,1698,1801,1380,480,106,1328,1747,685,1068,1061,1406,1657,2148,2280,1395,1329,1169,2419
India,Tamil Nadu,25,13028087,1341990,1105030,163913,2157,1182,590,1274,990,1685,1780,1358,470,103,1308,1712,668,1052,1048,1386,1630,2107,2198,1359,1304,1142,2335
India,Tamil Nadu,30,13028087,1230520,998607,163913,2152,1177,587,1268,986,1675,1769,1350,467,103,1298,1695,643,1023,1022,1341,1582,2027,2064,1291,1256,1100,2187
India,Tamil Nadu,50,13028087,923308,560199,163913,2046,1081,519,1106,913,1546,1615,1214,411,92,1135,1486,552,882,911,1161,1355,1684,1618,1047,1050,928,1704
India,Tamil Nadu,75,13028087,402272,203889,163913,1777,814,345,758,682,1101,1102,828,246,51,700,984,305,460,482,538,647,814,753,428,474,414,689
India,Telangana,0,11471211,11471211,11471211,55683,1364,1461,1852,2112,2270,3116,3825,6814,8059,1813,10563,7672,2524,3992,660,1002,654,1273,1657,780,950,787,6317
India,Telangana,10,11471211,1139909,790240,55683,1152,1207,1507,1641,1772,2404,3012,5587,6809,1524,8684,6619,1476,3204,412,657,457,706,1005,422,354,289,1231
India,Telangana,15,11471211,970654,648170,55683,1115,1141,1437,1518,1664,2246,2837,5265,6383,1428,8094,6344,1396,3106,387,607,432,652,944,390,331,269,1089
India,Telangana,20,11471211,920978,632837,55683,1095,1099,1382,1460,1608,2166,2749,5120,6192,1381,7859,6205,1341,3033,371,567,422,621,882,365,306,250,1028
India,Telangana,25,11471211,845132,595933,55683,1039,1027,1280,1352,1521,2033,2605,4823,5844,1309,7389,5968,1264,2932,352,514,408,582,828,333,280,220,929
India,Telangana,30,11471211,663616,503343,55683,1024,1011,1258,1318,1483,1975,2552,4700,5680,1274,7144,5630,1015,2598,275,413,355,461,700,272,228,168,689
India,Telangana,50,11471211,431620,198576,55683,708,597,766,733,863,1147,1577,2990,3620,838,4380,3789,568,1674,187,270,246,312,428,163,150,101,410
India,Telangana,75,11471211,59026,25821,55683,223,78,124,84,110,119,131,246,335,93,377,358,11,45,17,26,23,31,27,13,10,6,25
India,Tripura,0,1053626,1053626,1053626,16775,3105,1908,1233,2940,1514,6243,5852,5362,5099,3416,2587,2140,3150,6339,4949,6239,17080,8590,12074,12955,12659,12304,14944
India,Tripura,10,1053626,757362,665367,16775,3098,1897,1224,2918,1503,6188,5809,5293,5030,3367,2554,2107,2960,6093,4748,5940,16554,8249,11695,12547,12177,11801,14460
India,Tripura,15,1053626,726046,624129,16775,3096,1893,1220,2911,1499,6174,5793,5278,5012,3354,2544,2099,2847,5809,4476,5671,15881,7859,11216,12069,11617,11417,14061
India,Tripura,20,1053626,714363,616959,16775,3094,1891,1219,2907,1496,6164,5781,5265,5002,3347,2537,2094,2830,5779,4454,5640,15824,7824,11174,12022,11565,11353,14000
India,Tripura,25,1053626,701385,603250,16775,3093,1889,1218,2905,1495,6156,5775,5256,4994,3340,2531,2091,2814,5762,4443,5622,15801,7804,11152,11998,11537,11314,13967
India,Tripura,30,1053626,669293,569718,16775,3090,1888,1216,2900,1493,6144,5763,5246,4980,3331,2522,2082,2661,5394,4096,5226,14964,7260,10569,11376,10866,10823,13523
India,Tripura,50,1053626,582051,434984,16775,3047,1826,1168,2792,1432,5921,5542,4987,4734,3155,2387,1972,2436,5019,3830,4841,14216,6809,10002,10805,10248,10107,12728
India,Tripura,75,1053626,210173,154536,16775,2709,1487,890,2117,1100,4446,4112,3451,3283,2207,1588,1386,727,1742,1423,1884,6039,2566,4074,4349,3959,3473,4496
India,Uttar Pradesh,0,24075139,24075139,24075139,122778,686,322,265,615,859,841,997,807,1090,787,1331,1612,477,496,207,236,83,164,83,95,43,40,898
India,Uttar Pradesh,10,24075139,599914,596463,122778,557,171,125,303,316,447,433,303,434,303,569,555,91,173,112,152,44,86,20,9,5,9,123
India,Uttar Pradesh,15,24075139,509796,482370,122778,546,163,119,289,286,430,412,283,405,275,541,524,81,153,99,142,42,80,17,8,4,8,98
India,Uttar Pradesh,20,24075139,490902,465436,122778,540,157,113,272,261,402,373,254,366,242,511,483,77,138,93,136,42,76,14,7,3,8,92
India,Uttar Pradesh,25,24075139,442885,441506,122778,524,149,106,256,246,386,358,242,353,231,491,456,72,114,80,124,40,72,13,7,3,7,80
India,Uttar Pradesh,30,24075139,359975,369931,122778,522,147,105,254,244,382,353,240,349,228,483,446,63,104,68,115,39,66,11,6,3,6,71
India,Uttar Pradesh,50,24075139,217561,181228,122778,392,97,65,151,132,250,189,125,206,99,294,260,27,18,11,9,21,13,2,4,2,3,28
India,Uttar Pradesh,75,24075139,29301,16255,122778,183,46,23,61,58,94,65,42,65,22,109,109,4,1,1,1,2,5,0,1,0,0,1
India,Uttarakhand,0,5380852,5380852,5380852,39587,393,647,464,951,1026,1471,1196,1896,1088,900,1086,1657,899,957,1177,1309,859,827,1147,1313,2177,1114,3001
India,Uttarakhand,10,5380852,2149827,2006708,39587,343,553,290,832,688,1210,1056,1757,987,735,888,1438,552,668,860,973,726,658,861,1077,1863,876,2149
India,Uttarakhand,15,5380852,2062272,1912411,39587,338,544,280,818,662,1183,1040,1739,972,722,863,1409,525,649,837,947,716,643,832,1044,1834,853,2089
India,Uttarakhand,20,5380852,2040365,1898818,39587,336,540,275,810,645,1165,1028,1729,963,712,846,1395,506,636,820,931,711,639,819,1032,1822,844,2060
India,Uttarakhand,25,5380852,2001006,1772605,39587,332,537,271,804,637,1155,1020,1718,955,705,827,1375,488,624,799,911,702,633,808,1018,1806,832,2027
India,Uttarakhand,30,5380852,1948840,1731225,39587,330,535,269,800,631,1148,1014,1709,951,701,811,1364,468,607,779,885,690,622,788,992,1778,813,1977
India,Uttarakhand,50,5380852,1637553,1351637,39587,275,460,211,705,515,990,876,1496,822,614,655,1205,363,505,632,721,602,564,656,867,1649,722,1720
India,Uttarakhand,75,5380852,973083,758336,39587,165,323,110,466,314,541,472,901,549,398,340,805,146,255,271,412,265,299,344,371,909,392,800
India,West Bengal,0,8536526,8536526,8536526,132366,462,478,254,1011,555,1427,1774,1919,1236,2452,1216,2135,1113,2676,1496,2899,2542,1876,2239,2109,1842,1554,3107
India,West Bengal,10,8536526,677196,553926,132366,405,378,206,613,473,818,1569,1599,949,2110,992,1345,425,846,203,371,603,382,476,404,526,601,722
India,West Bengal,15,8536526,508578,407393,132366,398,371,201,596,462,803,1541,1570,927,2071,970,1298,396,788,186,333,564,351,435,364,497,574,659
India,West Bengal,20,8536526,482327,394506,132366,395,367,198,586,457,795,1527,1555,914,2050,962,1277,376,749,175,307,543,335,410,342,477,560,622
India,West Bengal,25,8536526,441567,375678,132366,390,362,196,576,451,785,1516,1543,908,2035,954,1254,361,705,158,263,506,306,377,313,451,537,574
India,West Bengal,30,8536526,407919,331883,132366,387,359,194,570,447,777,1503,1534,897,2021,946,1228,331,653,148,245,483,284,345,282,423,508,528
India,West Bengal,50,8536526,290585,196782,132366,321,282,148,357,352,576,1265,1267,729,1669,770,941,211,436,111,177,377,212,241,178,294,376,333
India,West Bengal,75,8536526,91425,53686,132366,200,135,72,143,179,250,655,621,320,676,309,379,24,46,11,29,70,30,31,26,64,53,57
